מפתח,חטיבה,חטיבה (כן/לא),רמה,WCOID,Occurence,האם שונה ביחס למסר המקור,XML Tag Name,"הצהרה
M/C/O/N",שם שדה/חטיבה,תיאור/ הערות,תיאור WCO,פורמט,Data Type,שם שדה בדור קיים,שם טבלה DATA BASE,מספר טבלה DATA BASE
1,declaration,כן,0,42A,1,לא,Declaration,M,הצהרת יבוא,הצהרת יבוא IM1,,,חטיבה,,,
2,declaration,לא,1,023,0..1,לא,|____ AcceptanceDateTime,N,תאריך בו נקלט המסר ההצהרה,התאריך בו נקלט מסר ההצהרה. סוכן המכס לא מזין תאריך זה.,Date on which a Goods declaration has been or will be accepted by Customs in accordance with Customs legislation.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",Date Time,tarich-hishuv-tiuta,,
5,declaration,לא,1,065,1..1,לא,|____ DeclarationOfficeID,M,קוד בית מכס המטפל,בית המכס (תחנת המכס) שאליו מוגשת ההצהרה ואחראי על הטיפול בה.,To identify a location at which a declaration is lodged.,an..17,Identifier,MIS-TACHANAT-MECHES,CustomsHouseType,2011
8,declaration,לא,1,D014,0..1,לא,|____ ID,C,זיהוי הצהרה במערכת המכס,"מספר הניתן ע""י מערכת המכס ומשמש לזיהוי ההצהרה בצורה חד ערכית. יש להוסיף את ההסבר לאופן קביעת המספר.
בעת השידור של הטיוטא הראשונה שדה זה יהיה רק. המספר יקבע ע""י המכס (לפי ההסבר לעיל). לאחר מכן בכל שידור נוסף של טיוטא זו, שתזוהה לפי מזהה תיק סוכן ומזהה רשומת סוכן,  חובה לשלוח את מספר ההצרה כפי נקבע במכס.",Reference number identifying a specific document.,an..35,Identifier,MIS-SHLIFA,,
10,declaration,לא,1,D011,0..1,לא,|____ IssueDateTime,O,תאריך יצירת הצהרה,"שדה זה הינו לשימוש פנימי של המכס, השדה מיועד עבור הנתון של תאריך החתימה על הצהרת היבוא אצל הסוכן וישלח במקרים בהם המסר מיועד לחול. השדה יישתל ע""י מערכת המכס והינו אינפרמטיבי בלבד ולכן לא יוצלב מול נתונים אחרים במערכת.","Date at which a declaration was issued and when appropriate, signed or otherwise authenticated.","an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",Date Time,,,
17,declaration,לא,1,D013,1..1,לא,|____ TypeCode,M,סוג הצהרה,סוג ההצרה מציין שזו הצהרת יבוא,Code specifying the name of a document.,an..3, Code,SUG-RESH,LeadDocumentType,1375
1851,declaration,כן,1,01L,1..1,כן,|____ DMExtensions,M,הרחבות ישראליות,תוספת של שדות יחודיים למכס הישראלי ברמת ההצרה כולה,,,חטיבה,,,
3,declaration,לא,2,382,1..1,לא,|           |____ TaxationDateTime,C,תאריך חישוב מיסים,"במסר הטיוטא השדה מציין את התאריך המבוקש לחישוב המסים.  התאריך משמש בשלב זה כתאריך הגשה משוער. השדה הוא חובה בכל תהליך למעט בתהליך ""הצהרה שמחליפה מ.ר."" שאז התאריך נקבע אוטומטית לפי תאריך אישור בקשת ההעברה של המ.ר..
סוכן המכס עשוי לבקש לחשב את המיסים לא לפי התאריך היום אלא לפי חישוב עתידי. (למשל ידוע שהולך להיות שינוי במיסוי והוא מעוניין לדעת אם עדיף לו להגיש היום או להגיש לאחר השינוי).
התאריך חייב להיות שווה או גדול מהיום וקטן מפרמטר הגשה עתידית (כיום 3 ימי עסקים, לפי טבלת החלטה תהליך וימי פעילות).
יש להדגיש כי במסר ההגשה, שהוא מסר נפרד, יהיה תאריך ההגשה הסופי שיכול להיות גם עתידי, והוא יהיה תאריך חישוב המסים בסופו של דבר לצורך התשלום.",Date on which tax is due or calculated.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
", Date Time,,,
1732,declaration,לא,2,I02,0..1,כן,|           |____ AgentFileReferenceID,C,מזהה תיק סוכן,זיהוי של התיק במערכת סוכן המכס.,#N/A,an..35, Identifier,MIS-TIK-SOCHEN,,
1733,declaration,לא,2,I03,0..1,כן,|           |____ ExternalDeclarationID,C,מזהה רשומת סוכן,"מזהה פנימי של ההצהרה במערכת סוכן מכס.
יש להבהיר שמזהה רשומת הסוכן חייב להיות חד-ערכי לאורך כל חיי המערכת. (מומלץ להוסיף תאריך כחלק מהפתח של מספר הרשומה)",#N/A,an..35, Identifier,,,
